order_id,order_date,customer_name,city,state,segment,product_name,category,quantity,price,sales_amount,ship_date,delivery_date,delivery_status
13,2025-10-31,"Richard Gonzales","New Matthew",Texas,Retail,Router,Electronics,2,6575.00,13150.00,2025-11-03,2025-11-08,"In Transit"
13,2025-10-31,"Richard Gonzales","New Matthew",Texas,Retail,Laptop,Electronics,3,36605.00,109815.00,2025-11-03,2025-11-08,"In Transit"
14,2025-10-06,"Sarah Sanders","East Michellefurt",Pennsylvania,Corporate,Table,Furniture,1,28270.00,28270.00,2025-10-07,2025-10-12,Delivered
14,2025-10-06,"Sarah Sanders","East Michellefurt",Pennsylvania,Corporate,Calculator,Office,2,1893.00,3786.00,2025-10-07,2025-10-12,Delivered
14,2025-10-06,"Sarah Sanders","East Michellefurt",Pennsylvania,Corporate,Bookshelf,Furniture,5,16157.00,80785.00,2025-10-07,2025-10-12,Delivered
15,2026-01-05,"Angela Gay",Antoniofurt,"West Virginia",Retail,"File Folder",Office,5,2621.00,13105.00,2026-01-07,2026-01-12,"In Transit"
15,2026-01-05,"Angela Gay",Antoniofurt,"West Virginia",Retail,Router,Electronics,4,13826.00,55304.00,2026-01-07,2026-01-12,"In Transit"
15,2026-01-05,"Angela Gay",Antoniofurt,"West Virginia",Retail,Calculator,Office,5,536.00,2680.00,2026-01-07,2026-01-12,"In Transit"
16,2026-01-28,"Lisa Smith","Port Marie",Nebraska,Wholesale,T-Shirt,Clothing,5,4519.00,22595.00,2026-01-30,2026-02-05,Delivered
16,2026-01-28,"Lisa Smith","Port Marie",Nebraska,Wholesale,Cap,Clothing,5,4591.00,22955.00,2026-01-30,2026-02-05,Delivered
16,2026-01-28,"Lisa Smith","Port Marie",Nebraska,Wholesale,T-Shirt,Clothing,3,4013.00,12039.00,2026-01-30,2026-02-05,Delivered
16,2026-01-28,"Lisa Smith","Port Marie",Nebraska,Wholesale,Pen,Office,1,754.00,754.00,2026-01-30,2026-02-05,Delivered
17,2025-08-31,"Lindsey Taylor","West Christopherview",Wyoming,Wholesale,Monitor,Electronics,4,37050.00,148200.00,2025-09-03,2025-09-08,"In Transit"
17,2025-08-31,"Lindsey Taylor","West Christopherview",Wyoming,Wholesale,Calculator,Office,3,1935.00,5805.00,2025-09-03,2025-09-08,"In Transit"
18,2025-11-22,"Lauren Scott",Travischester,Alaska,Corporate,Monitor,Electronics,2,37050.00,74100.00,2025-11-25,2025-11-30,"In Transit"
19,2025-12-26,"Robert Andersen",Garrettstad,"North Dakota",Wholesale,Monitor,Electronics,3,31582.00,94746.00,2025-12-30,2026-01-04,Delivered
19,2025-12-26,"Robert Andersen",Garrettstad,"North Dakota",Wholesale,T-Shirt,Clothing,1,4519.00,4519.00,2025-12-30,2026-01-04,Delivered
19,2025-12-26,"Robert Andersen",Garrettstad,"North Dakota",Wholesale,Monitor,Electronics,4,32830.00,131320.00,2025-12-30,2026-01-04,Delivered
20,2025-09-23,"Joseph Peters",Hernandezland,"New Hampshire",Online,Table,Furniture,4,2897.00,11588.00,2025-09-26,2025-09-30,"In Transit"
20,2025-09-23,"Joseph Peters",Hernandezland,"New Hampshire",Online,Desk,Furniture,3,2605.00,7815.00,2025-09-26,2025-09-30,"In Transit"
21,2026-01-20,"Lisa Smith","Port Marie",Nebraska,Wholesale,Monitor,Electronics,1,32830.00,32830.00,2026-01-22,2026-01-24,"In Transit"
21,2026-01-20,"Lisa Smith","Port Marie",Nebraska,Wholesale,T-Shirt,Clothing,3,4519.00,13557.00,2026-01-22,2026-01-24,"In Transit"
22,2025-10-16,"Matthew Alvarez","West Juliestad",Indiana,Online,Router,Electronics,5,13826.00,69130.00,2025-10-20,2025-10-26,Delivered
22,2025-10-16,"Matthew Alvarez","West Juliestad",Indiana,Online,T-Shirt,Clothing,1,841.00,841.00,2025-10-20,2025-10-26,Delivered
22,2025-10-16,"Matthew Alvarez","West Juliestad",Indiana,Online,Laptop,Electronics,1,36605.00,36605.00,2025-10-20,2025-10-26,Delivered
23,2025-09-03,"Stephen Graham",Tiffanyland,Minnesota,Wholesale,Notebook,Office,4,2605.00,10420.00,2025-09-07,2025-09-13,"In Transit"
24,2025-11-11,"Alexandra Ball",Dillonborough,Virginia,Retail,T-Shirt,Clothing,4,4355.00,17420.00,2025-11-15,2025-11-20,Delivered
25,2025-12-07,"Shaun Moore","Port Dennismouth",Alaska,Corporate,Pen,Office,4,754.00,3016.00,2025-12-10,2025-12-15,Delivered
25,2025-12-07,"Shaun Moore","Port Dennismouth",Alaska,Corporate,Notebook,Office,5,2605.00,13025.00,2025-12-10,2025-12-15,Delivered
25,2025-12-07,"Shaun Moore","Port Dennismouth",Alaska,Corporate,Laptop,Electronics,1,44439.00,44439.00,2025-12-10,2025-12-15,Delivered
25,2025-12-07,"Shaun Moore","Port Dennismouth",Alaska,Corporate,Bookshelf,Furniture,1,16157.00,16157.00,2025-12-10,2025-12-15,Delivered
26,2026-01-04,"Chloe King","Port Andrewmouth","South Dakota",Retail,Jeans,Clothing,5,1937.00,9685.00,2026-01-08,2026-01-11,"In Transit"
26,2026-01-04,"Chloe King","Port Andrewmouth","South Dakota",Retail,T-Shirt,Clothing,2,4355.00,8710.00,2026-01-08,2026-01-11,"In Transit"
26,2026-01-04,"Chloe King","Port Andrewmouth","South Dakota",Retail,"File Folder",Office,2,1388.00,2776.00,2026-01-08,2026-01-11,"In Transit"
27,2025-08-17,"Leah Lewis",Andersonshire,Utah,Wholesale,Laptop,Electronics,2,36605.00,73210.00,2025-08-21,2025-08-27,Delivered
28,2025-10-02,"Kimberly Arellano",Sonyaberg,Alaska,Corporate,"Office Chair",Furniture,4,10869.00,43476.00,2025-10-03,2025-10-08,Delivered
28,2025-10-02,"Kimberly Arellano",Sonyaberg,Alaska,Corporate,Table,Furniture,5,28270.00,141350.00,2025-10-03,2025-10-08,Delivered
29,2025-10-23,"Shane Smith","South Lauraland",Wisconsin,Online,Calculator,Office,2,1935.00,3870.00,2025-10-24,2025-10-31,"In Transit"
29,2025-10-23,"Shane Smith","South Lauraland",Wisconsin,Online,T-Shirt,Clothing,1,4519.00,4519.00,2025-10-24,2025-10-31,"In Transit"
29,2025-10-23,"Shane Smith","South Lauraland",Wisconsin,Online,Laptop,Electronics,3,44439.00,133317.00,2025-10-24,2025-10-31,"In Transit"
30,2025-08-25,"Breanna Holland","East Katelyn","New Jersey",Online,"File Folder",Office,5,2621.00,13105.00,2025-08-28,2025-09-02,"In Transit"
30,2025-08-25,"Breanna Holland","East Katelyn","New Jersey",Online,Monitor,Electronics,1,31582.00,31582.00,2025-08-28,2025-09-02,"In Transit"
30,2025-08-25,"Breanna Holland","East Katelyn","New Jersey",Online,Calculator,Office,5,536.00,2680.00,2025-08-28,2025-09-02,"In Transit"
31,2025-08-11,"Sarah Taylor","West Lisa",Montana,Corporate,Webcam,Electronics,4,32674.00,130696.00,2025-08-14,2025-08-21,"In Transit"
31,2025-08-11,"Sarah Taylor","West Lisa",Montana,Corporate,Desk,Furniture,1,28175.00,28175.00,2025-08-14,2025-08-21,"In Transit"
31,2025-08-11,"Sarah Taylor","West Lisa",Montana,Corporate,Calculator,Office,5,1935.00,9675.00,2025-08-14,2025-08-21,"In Transit"
32,2025-12-04,"Melissa Olson DVM",Martinhaven,Utah,Retail,"Office Chair",Furniture,2,10869.00,21738.00,2025-12-07,2025-12-11,"In Transit"
32,2025-12-04,"Melissa Olson DVM",Martinhaven,Utah,Retail,Table,Furniture,3,28270.00,84810.00,2025-12-07,2025-12-11,"In Transit"
32,2025-12-04,"Melissa Olson DVM",Martinhaven,Utah,Retail,Laptop,Electronics,2,44439.00,88878.00,2025-12-07,2025-12-11,"In Transit"
32,2025-12-04,"Melissa Olson DVM",Martinhaven,Utah,Retail,Shoes,Clothing,3,1083.00,3249.00,2025-12-07,2025-12-11,"In Transit"
33,2025-08-13,"Mathew Patel","South Seanview","New Hampshire",Retail,"File Folder",Office,1,2621.00,2621.00,2025-08-16,2025-08-21,"In Transit"
33,2025-08-13,"Mathew Patel","South Seanview","New Hampshire",Retail,Router,Electronics,1,13826.00,13826.00,2025-08-16,2025-08-21,"In Transit"
33,2025-08-13,"Mathew Patel","South Seanview","New Hampshire",Retail,Jeans,Clothing,1,1937.00,1937.00,2025-08-16,2025-08-21,"In Transit"
34,2026-01-05,"Lisa Smith","Port Marie",Nebraska,Wholesale,Calculator,Office,4,536.00,2144.00,2026-01-07,2026-01-14,Delivered
34,2026-01-05,"Lisa Smith","Port Marie",Nebraska,Wholesale,Jeans,Clothing,4,3609.00,14436.00,2026-01-07,2026-01-14,Delivered
34,2026-01-05,"Lisa Smith","Port Marie",Nebraska,Wholesale,Shoes,Clothing,1,1083.00,1083.00,2026-01-07,2026-01-14,Delivered
34,2026-01-05,"Lisa Smith","Port Marie",Nebraska,Wholesale,Sofa,Furniture,3,24014.00,72042.00,2026-01-07,2026-01-14,Delivered
35,2025-10-05,"Nathan Rhodes","Port Patrick",Alabama,Online,Stapler,Office,1,2866.00,2866.00,2025-10-06,2025-10-10,"In Transit"
35,2025-10-05,"Nathan Rhodes","Port Patrick",Alabama,Online,Monitor,Electronics,3,32830.00,98490.00,2025-10-06,2025-10-10,"In Transit"
36,2025-12-29,"Robert Andersen",Garrettstad,"North Dakota",Wholesale,Cap,Clothing,2,2150.00,4300.00,2026-01-02,2026-01-07,Delivered
36,2025-12-29,"Robert Andersen",Garrettstad,"North Dakota",Wholesale,Monitor,Electronics,5,37050.00,185250.00,2026-01-02,2026-01-07,Delivered
37,2025-11-07,"Kevin Silva","North Christineberg",Wyoming,Online,T-Shirt,Clothing,1,4355.00,4355.00,2025-11-11,2025-11-18,Delivered
37,2025-11-07,"Kevin Silva","North Christineberg",Wyoming,Online,Keyboard,Electronics,2,31619.00,63238.00,2025-11-11,2025-11-18,Delivered
37,2025-11-07,"Kevin Silva","North Christineberg",Wyoming,Online,Cap,Clothing,1,2150.00,2150.00,2025-11-11,2025-11-18,Delivered
37,2025-11-07,"Kevin Silva","North Christineberg",Wyoming,Online,T-Shirt,Clothing,2,4519.00,9038.00,2025-11-11,2025-11-18,Delivered
38,2025-09-24,"Lisa Herrera",Tammyville,Colorado,Retail,Table,Furniture,1,28270.00,28270.00,2025-09-25,2025-09-27,"In Transit"
38,2025-09-24,"Lisa Herrera",Tammyville,Colorado,Retail,Table,Furniture,4,28270.00,113080.00,2025-09-25,2025-09-27,"In Transit"
38,2025-09-24,"Lisa Herrera",Tammyville,Colorado,Retail,"File Folder",Office,3,2608.00,7824.00,2025-09-25,2025-09-27,"In Transit"
38,2025-09-24,"Lisa Herrera",Tammyville,Colorado,Retail,Table,Furniture,2,24626.00,49252.00,2025-09-25,2025-09-27,"In Transit"
39,2025-11-04,"Alicia Joseph",Martinezhaven,Pennsylvania,Retail,Laptop,Electronics,4,44439.00,177756.00,2025-11-07,2025-11-12,"In Transit"
39,2025-11-04,"Alicia Joseph",Martinezhaven,Pennsylvania,Retail,Bookshelf,Furniture,1,16157.00,16157.00,2025-11-07,2025-11-12,"In Transit"
39,2025-11-04,"Alicia Joseph",Martinezhaven,Pennsylvania,Retail,Jeans,Clothing,3,2876.00,8628.00,2025-11-07,2025-11-12,"In Transit"
40,2025-10-09,"Stephanie Bowman",Scottburgh,Wyoming,Online,Laptop,Electronics,5,44439.00,222195.00,2025-10-13,2025-10-20,Delivered
41,2025-12-08,"Spencer Hahn","East Samanthaview",Nevada,Retail,Laptop,Electronics,3,36605.00,109815.00,2025-12-09,2025-12-12,"In Transit"
41,2025-12-08,"Spencer Hahn","East Samanthaview",Nevada,Retail,T-Shirt,Clothing,4,4355.00,17420.00,2025-12-09,2025-12-12,"In Transit"
41,2025-12-08,"Spencer Hahn","East Samanthaview",Nevada,Retail,"File Folder",Office,2,2621.00,5242.00,2025-12-09,2025-12-12,"In Transit"
41,2025-12-08,"Spencer Hahn","East Samanthaview",Nevada,Retail,T-Shirt,Clothing,2,841.00,1682.00,2025-12-09,2025-12-12,"In Transit"
42,2025-10-30,"Danielle Berger DDS",Jessicaview,Mississippi,Wholesale,Jeans,Clothing,5,3609.00,18045.00,2025-11-03,2025-11-10,"In Transit"
42,2025-10-30,"Danielle Berger DDS",Jessicaview,Mississippi,Wholesale,T-Shirt,Clothing,4,4519.00,18076.00,2025-11-03,2025-11-10,"In Transit"
42,2025-10-30,"Danielle Berger DDS",Jessicaview,Mississippi,Wholesale,Router,Electronics,1,6575.00,6575.00,2025-11-03,2025-11-10,"In Transit"
42,2025-10-30,"Danielle Berger DDS",Jessicaview,Mississippi,Wholesale,Bookshelf,Furniture,2,16782.00,33564.00,2025-11-03,2025-11-10,"In Transit"
43,2025-08-02,"Melissa Olson DVM",Martinhaven,Utah,Retail,Stapler,Office,3,2866.00,8598.00,2025-08-03,2025-08-09,Delivered
44,2026-01-24,"Catherine Blair",Jeffreyshire,Maine,Online,Printer,Electronics,2,40133.00,80266.00,2026-01-26,2026-01-28,"In Transit"
45,2026-01-30,"Sarah Taylor","West Lisa",Montana,Corporate,Router,Electronics,1,13826.00,13826.00,2026-01-31,2026-02-06,Delivered
46,2025-12-26,"Brad Elliott",Coopermouth,"New Jersey",Retail,Jeans,Clothing,3,1937.00,5811.00,2025-12-30,2026-01-03,"In Transit"
46,2025-12-26,"Brad Elliott",Coopermouth,"New Jersey",Retail,Printer,Electronics,4,51244.00,204976.00,2025-12-30,2026-01-03,"In Transit"
46,2025-12-26,"Brad Elliott",Coopermouth,"New Jersey",Retail,Laptop,Electronics,5,44439.00,222195.00,2025-12-30,2026-01-03,"In Transit"
46,2025-12-26,"Brad Elliott",Coopermouth,"New Jersey",Retail,Printer,Electronics,3,51244.00,153732.00,2025-12-30,2026-01-03,"In Transit"
47,2026-01-20,"Christopher Foster",Walkerfurt,Florida,Retail,Laptop,Electronics,4,36605.00,146420.00,2026-01-22,2026-01-27,"In Transit"
47,2026-01-20,"Christopher Foster",Walkerfurt,Florida,Retail,Stapler,Office,4,2866.00,11464.00,2026-01-22,2026-01-27,"In Transit"
48,2025-10-04,"Melissa Hess",Michellechester,Kentucky,Corporate,Calculator,Office,3,1893.00,5679.00,2025-10-06,2025-10-11,Delivered
48,2025-10-04,"Melissa Hess",Michellechester,Kentucky,Corporate,T-Shirt,Clothing,3,4519.00,13557.00,2025-10-06,2025-10-11,Delivered
49,2025-09-30,"Angela Gay",Antoniofurt,"West Virginia",Retail,Calculator,Office,4,536.00,2144.00,2025-10-01,2025-10-06,"In Transit"
49,2025-09-30,"Angela Gay",Antoniofurt,"West Virginia",Retail,Notebook,Office,5,2605.00,13025.00,2025-10-01,2025-10-06,"In Transit"
49,2025-09-30,"Angela Gay",Antoniofurt,"West Virginia",Retail,Jeans,Clothing,4,2876.00,11504.00,2025-10-01,2025-10-06,"In Transit"
49,2025-09-30,"Angela Gay",Antoniofurt,"West Virginia",Retail,Keyboard,Electronics,2,31619.00,63238.00,2025-10-01,2025-10-06,"In Transit"
50,2025-10-04,"Erin Forbes",Jonesburgh,Arkansas,Retail,Sofa,Furniture,2,24014.00,48028.00,2025-10-06,2025-10-09,Delivered
51,2025-08-22,"Chloe King","Port Andrewmouth","South Dakota",Retail,T-Shirt,Clothing,4,841.00,3364.00,2025-08-25,2025-09-01,"In Transit"
51,2025-08-22,"Chloe King","Port Andrewmouth","South Dakota",Retail,T-Shirt,Clothing,2,841.00,1682.00,2025-08-25,2025-09-01,"In Transit"
52,2025-08-28,"Richard Gonzales","New Matthew",Texas,Retail,Table,Furniture,3,2897.00,8691.00,2025-08-30,2025-09-06,"In Transit"
52,2025-08-28,"Richard Gonzales","New Matthew",Texas,Retail,Table,Furniture,2,2897.00,5794.00,2025-08-30,2025-09-06,"In Transit"
52,2025-08-28,"Richard Gonzales","New Matthew",Texas,Retail,T-Shirt,Clothing,4,4519.00,18076.00,2025-08-30,2025-09-06,"In Transit"
53,2025-12-03,"Brad Elliott",Coopermouth,"New Jersey",Retail,Mouse,Electronics,3,29816.00,89448.00,2025-12-07,2025-12-09,"In Transit"
54,2025-11-23,"Mr. Austin Lewis DDS","Port Matthew",Utah,Retail,Router,Electronics,4,13826.00,55304.00,2025-11-26,2025-12-01,Delivered
54,2025-11-23,"Mr. Austin Lewis DDS","Port Matthew",Utah,Retail,Laptop,Electronics,3,36605.00,109815.00,2025-11-26,2025-12-01,Delivered
55,2025-11-24,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,Monitor,Electronics,2,32830.00,65660.00,2025-11-26,2025-11-28,"In Transit"
55,2025-11-24,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,T-Shirt,Clothing,1,4519.00,4519.00,2025-11-26,2025-11-28,"In Transit"
55,2025-11-24,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,Jeans,Clothing,3,2876.00,8628.00,2025-11-26,2025-11-28,"In Transit"
56,2025-09-06,"Kevin Silva","North Christineberg",Wyoming,Online,T-Shirt,Clothing,5,4013.00,20065.00,2025-09-09,2025-09-13,Delivered
57,2025-11-06,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,Monitor,Electronics,3,37050.00,111150.00,2025-11-09,2025-11-16,Delivered
57,2025-11-06,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,Stapler,Office,2,2866.00,5732.00,2025-11-09,2025-11-16,Delivered
57,2025-11-06,"Michelle Wong",Jamesmouth,"Rhode Island",Corporate,Bookshelf,Furniture,3,16782.00,50346.00,2025-11-09,2025-11-16,Delivered
58,2025-09-30,"Kimberly Simon",Luceroshire,Michigan,Wholesale,Notebook,Office,1,2605.00,2605.00,2025-10-04,2025-10-07,"In Transit"
58,2025-09-30,"Kimberly Simon",Luceroshire,Michigan,Wholesale,T-Shirt,Clothing,4,4519.00,18076.00,2025-10-04,2025-10-07,"In Transit"
58,2025-09-30,"Kimberly Simon",Luceroshire,Michigan,Wholesale,"File Folder",Office,2,1388.00,2776.00,2025-10-04,2025-10-07,"In Transit"
58,2025-09-30,"Kimberly Simon",Luceroshire,Michigan,Wholesale,Mouse,Electronics,2,29816.00,59632.00,2025-10-04,2025-10-07,"In Transit"
59,2025-09-06,"Scott Gonzales",Moonfurt,Maine,Online,Laptop,Electronics,5,36605.00,183025.00,2025-09-10,2025-09-14,"In Transit"
59,2025-09-06,"Scott Gonzales",Moonfurt,Maine,Online,Jeans,Clothing,4,1937.00,7748.00,2025-09-10,2025-09-14,"In Transit"
59,2025-09-06,"Scott Gonzales",Moonfurt,Maine,Online,Table,Furniture,2,28270.00,56540.00,2025-09-10,2025-09-14,"In Transit"
59,2025-09-06,"Scott Gonzales",Moonfurt,Maine,Online,Pen,Office,3,754.00,2262.00,2025-09-10,2025-09-14,"In Transit"
60,2026-01-18,"Willie Ramirez","South Jose",Wyoming,Retail,Jeans,Clothing,2,2876.00,5752.00,2026-01-22,2026-01-29,"In Transit"
61,2025-10-30,"Elizabeth Spencer","East Alicia",Mississippi,Online,Jeans,Clothing,5,3609.00,18045.00,2025-11-03,2025-11-06,Delivered
61,2025-10-30,"Elizabeth Spencer","East Alicia",Mississippi,Online,Jeans,Clothing,3,1937.00,5811.00,2025-11-03,2025-11-06,Delivered
61,2025-10-30,"Elizabeth Spencer","East Alicia",Mississippi,Online,Jeans,Clothing,1,3609.00,3609.00,2025-11-03,2025-11-06,Delivered
62,2025-11-22,"Erin Forbes",Jonesburgh,Arkansas,Retail,Jeans,Clothing,3,2876.00,8628.00,2025-11-24,2025-11-26,"In Transit"
62,2025-11-22,"Erin Forbes",Jonesburgh,Arkansas,Retail,T-Shirt,Clothing,1,4013.00,4013.00,2025-11-24,2025-11-26,"In Transit"
63,2025-10-28,"Michelle Levine",Yangton,Hawaii,Retail,Sofa,Furniture,5,24014.00,120070.00,2025-11-01,2025-11-06,Delivered
63,2025-10-28,"Michelle Levine",Yangton,Hawaii,Retail,Desk,Furniture,4,28175.00,112700.00,2025-11-01,2025-11-06,Delivered
64,2025-10-27,"Sarah Taylor","West Lisa",Montana,Corporate,Calculator,Office,4,536.00,2144.00,2025-10-30,2025-11-06,Delivered
64,2025-10-27,"Sarah Taylor","West Lisa",Montana,Corporate,Table,Furniture,2,2897.00,5794.00,2025-10-30,2025-11-06,Delivered
64,2025-10-27,"Sarah Taylor","West Lisa",Montana,Corporate,T-Shirt,Clothing,4,4013.00,16052.00,2025-10-30,2025-11-06,Delivered
64,2025-10-27,"Sarah Taylor","West Lisa",Montana,Corporate,Table,Furniture,4,28270.00,113080.00,2025-10-30,2025-11-06,Delivered
65,2025-11-13,"Timothy Jones",Donaldburgh,Ohio,Wholesale,Stapler,Office,1,2866.00,2866.00,2025-11-16,2025-11-23,"In Transit"
65,2025-11-13,"Timothy Jones",Donaldburgh,Ohio,Wholesale,Shoes,Clothing,3,1083.00,3249.00,2025-11-16,2025-11-23,"In Transit"
66,2025-11-22,"Stephanie Bowman",Scottburgh,Wyoming,Online,Calculator,Office,2,1935.00,3870.00,2025-11-24,2025-11-30,Delivered
66,2025-11-22,"Stephanie Bowman",Scottburgh,Wyoming,Online,Calculator,Office,4,1935.00,7740.00,2025-11-24,2025-11-30,Delivered
66,2025-11-22,"Stephanie Bowman",Scottburgh,Wyoming,Online,Table,Furniture,2,2897.00,5794.00,2025-11-24,2025-11-30,Delivered
66,2025-11-22,"Stephanie Bowman",Scottburgh,Wyoming,Online,Webcam,Electronics,4,32674.00,130696.00,2025-11-24,2025-11-30,Delivered
67,2025-09-29,"Patricia Cain",Jimenezmouth,"New Jersey",Retail,T-Shirt,Clothing,3,4519.00,13557.00,2025-10-03,2025-10-06,"In Transit"
68,2025-08-09,"Catherine Blair",Jeffreyshire,Maine,Online,Router,Electronics,3,6575.00,19725.00,2025-08-11,2025-08-17,"In Transit"
68,2025-08-09,"Catherine Blair",Jeffreyshire,Maine,Online,T-Shirt,Clothing,2,4013.00,8026.00,2025-08-11,2025-08-17,"In Transit"
68,2025-08-09,"Catherine Blair",Jeffreyshire,Maine,Online,"File Folder",Office,5,2608.00,13040.00,2025-08-11,2025-08-17,"In Transit"
68,2025-08-09,"Catherine Blair",Jeffreyshire,Maine,Online,T-Shirt,Clothing,3,4519.00,13557.00,2025-08-11,2025-08-17,"In Transit"
69,2026-01-05,"Vickie King",Pettyville,Nebraska,Online,"File Folder",Office,2,1388.00,2776.00,2026-01-08,2026-01-13,Delivered
69,2026-01-05,"Vickie King",Pettyville,Nebraska,Online,"File Folder",Office,5,2608.00,13040.00,2026-01-08,2026-01-13,Delivered
69,2026-01-05,"Vickie King",Pettyville,Nebraska,Online,Router,Electronics,1,13826.00,13826.00,2026-01-08,2026-01-13,Delivered
69,2026-01-05,"Vickie King",Pettyville,Nebraska,Online,Calculator,Office,4,536.00,2144.00,2026-01-08,2026-01-13,Delivered
